From,To,Assignment Name,Value,Enabled
,SW[0],Location,PIN_L22,Yes
,SW[1],Location,PIN_L21,Yes
,SW[2],Location,PIN_M22,Yes
,SW[3],Location,PIN_V12,Yes
,SW[4],Location,PIN_W12,Yes
,SW[5],Location,PIN_U12,Yes
,SW[6],Location,PIN_U11,Yes
,SW[7],Location,PIN_M2,Yes
,SW[8],Location,PIN_M1,Yes
,SW[9],Location,PIN_L2,Yes
,SW[0],I/O Standard,LVTTL,Yes
,SW[1],I/O Standard,LVTTL,Yes
,SW[2],I/O Standard,LVTTL,Yes
,SW[3],I/O Standard,LVTTL,Yes
,SW[4],I/O Standard,LVTTL,Yes
,SW[5],I/O Standard,LVTTL,Yes
,SW[6],I/O Standard,LVTTL,Yes
,SW[7],I/O Standard,LVTTL,Yes
,SW[8],I/O Standard,LVTTL,Yes
,SW[9],I/O Standard,LVTTL,Yes
,KEY[0],Location,PIN_R22,Yes
,KEY[1],Location,PIN_R21,Yes
,KEY[2],Location,PIN_T22,Yes
,KEY[3],Location,PIN_T21,Yes
,LEDR[0],Location,PIN_R20,Yes
,LEDR[1],Location,PIN_R19,Yes
,LEDR[2],Location,PIN_U19,Yes
,LEDR[3],Location,PIN_Y19,Yes
,LEDR[4],Location,PIN_T18,Yes
,LEDR[5],Location,PIN_V19,Yes
,LEDR[6],Location,PIN_Y18,Yes
,LEDR[7],Location,PIN_U18,Yes
,LEDR[8],Location,PIN_R18,Yes
,LEDR[9],Location,PIN_R17,Yes
,LEDG[0],Location,PIN_U22,Yes
,LEDG[1],Location,PIN_U21,Yes
,LEDG[2],Location,PIN_V22,Yes
,LEDG[3],Location,PIN_V21,Yes
,LEDG[4],Location,PIN_W22,Yes
,LEDG[5],Location,PIN_W21,Yes
,LEDG[6],Location,PIN_Y22,Yes
,LEDG[7],Location,PIN_Y21,Yes
,KEY[0],I/O Standard,LVTTL,Yes
,KEY[1],I/O Standard,LVTTL,Yes
,KEY[2],I/O Standard,LVTTL,Yes
,KEY[3],I/O Standard,LVTTL,Yes
,LEDR[0],I/O Standard,LVTTL,Yes
,LEDR[1],I/O Standard,LVTTL,Yes
,LEDR[2],I/O Standard,LVTTL,Yes
,LEDR[3],I/O Standard,LVTTL,Yes
,LEDR[4],I/O Standard,LVTTL,Yes
,LEDR[5],I/O Standard,LVTTL,Yes
,LEDR[6],I/O Standard,LVTTL,Yes
,LEDR[7],I/O Standard,LVTTL,Yes
,LEDR[8],I/O Standard,LVTTL,Yes
,LEDR[9],I/O Standard,LVTTL,Yes
,LEDG[0],I/O Standard,LVTTL,Yes
,LEDG[1],I/O Standard,LVTTL,Yes
,LEDG[2],I/O Standard,LVTTL,Yes
,LEDG[3],I/O Standard,LVTTL,Yes
,LEDG[4],I/O Standard,LVTTL,Yes
,LEDG[5],I/O Standard,LVTTL,Yes
,LEDG[6],I/O Standard,LVTTL,Yes
,LEDG[7],I/O Standard,LVTTL,Yes
,clock,Location,PIN_L1,Yes
,clock,I/O Standard,LVTTL,Yes
